"Format","PiBoSo CSV File"
"Venue","Pittsburgh International v1.0b"
"Vehicle","Honda HRC Team"
"User","jrob314159"
"Data Source","GP Bikes"
"Comment",""
"Date","04/13/26"
"Time","16:50:01"
"Sample Rate","10"
"Duration","549.999"
"Segment","Session"
"Beacon Markers",""

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","InputThrottle","Throttle","FrontBrake","RearBrake","Clutch","FrontSusp","RearSusp","FrontWheel","RearWheel","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","bar","bar","%","%","%","m/s","m/s","deg/s","m","m"

"0.002","109.056","2395","90.000214","90.000000","0","0.065006","-0.000003","-0.005171","-0.000001","0.000000","15.000001","0.000000","0.000000","100.000000","95.836464","80.041191","0.003907","-0.003454","-0.000087","-129.907272","185.386108"
"0.101","109.065","2346","90.013817","90.000664","0","2.525347","-0.022738","0.137367","-0.034323","0.000000","22.961805","0.000000","0.000000","100.000000","82.891632","77.510658","0.012403","0.039704","0.932015","-129.917282","185.386765"
"0.200","109.069","2346","90.026405","90.003143","0","0.364198","-0.015548","-0.025210","0.894068","0.000000","23.050697","0.000000","0.000000","100.000000","58.348526","46.131584","-0.080437","-0.054508","-1.111380","-129.921432","185.385529"
"0.300","109.065","2346","90.037964","90.007256","0","0.639920","-0.002404","0.033565","1.729954","0.000000","23.051804","0.000000","0.000000","100.000000","61.293049","51.350933","0.010856","-0.014120","0.593445","-129.915649","185.384430"
"0.400","109.060","2346","90.048553","90.012337","0","0.097848","0.002323","0.011092","0.924553","0.000000","23.051815","0.000000","0.000000","100.000000","67.521118","60.826580","-0.012651","-0.011507","0.669924","-129.911346","185.384903"
"0.500","109.059","2346","90.058426","90.018135","0","0.027467","-0.001530","0.011946","0.506113","0.000000","23.051815","0.000000","0.000000","100.000000","67.727951","62.047695","-0.008520","-0.009508","0.054764","-129.910080","185.385162"
"0.601","109.059","2346","90.067955","90.024590","0","0.035661","0.001804","-0.001585","0.482650","0.000000","23.051817","0.000000","0.000000","100.000000","67.886131","62.412571","-0.004206","0.001494","-0.080428","-129.909485","185.385162"
"0.701","109.058","2346","90.076904","90.031311","0","0.000429","0.000640","0.013545","0.486525","0.000000","23.051815","0.000000","0.000000","100.000000","68.055565","62.766712","0.000396","-0.000797","0.061182","-129.909195","185.385223"
"0.801","109.058","2346","90.085556","90.038322","0","0.027519","0.001313","0.007312","0.438466","0.000000","23.051817","0.000000","0.000000","100.000000","68.029533","62.836956","-0.001858","0.002213","-0.058127","-129.909119","185.385239"
"0.901","109.058","2346","90.094002","90.045547","0","0.006008","0.008213","-0.001043","0.363800","0.000000","23.051815","0.000000","0.000000","100.000000","68.042717","62.882160","-0.000782","0.001259","0.091550","-129.908997","185.385315"
"1.001","109.058","2346","90.102287","90.052933","0","0.028027","-0.006756","-0.006164","0.265439","0.000000","23.051817","0.000000","0.000000","100.000000","68.043404","62.905544","-0.002527","0.003791","0.421024","-129.908859","185.385788"
"1.101","109.057","2346","90.110451","90.060432","0","0.027550","0.001525","0.001716","-0.490051","0.000000","23.051817","0.000000","0.000000","100.000000","68.015251","62.898300","0.000945","0.001585","0.769653","-129.908691","185.386871"
"1.201","109.057","2346","90.118538","90.068016","0","0.061446","0.001508","-0.000423","-1.228990","0.000000","23.051817","0.000000","0.000000","100.000000","67.982780","62.910408","0.000878","-0.003942","0.441294","-129.908539","185.387802"
"1.301","109.056","2346","90.126549","90.075668","0","0.004935","0.001732","0.000850","-1.660527","0.000000","23.051817","0.000000","0.000000","100.000000","67.943314","62.976109","-0.001815","0.004258","0.236995","-129.908478","185.388351"
"1.401","109.056","2346","90.134521","90.083374","0","0.027567","0.000150","-0.013920","-1.848671","0.000000","23.051815","0.000000","0.000000","100.000000","67.928825","62.941448","0.001546","-0.002393","0.215130","-129.908401","185.388687"
"1.501","109.056","2346","90.142456","90.091110","0","0.039013","-0.000203","0.003370","-1.949250","0.000000","23.051815","0.000000","0.000000","100.000000","67.923805","63.016731","-0.002323","0.003895","-0.063343","-129.908371","185.388763"
"1.601","109.056","2346","90.150368","90.098869","0","0.000429","0.002189","0.010880","-1.945503","0.000000","23.051817","0.000000","0.000000","100.000000","67.919487","63.021595","-0.000063","-0.000007","-0.021982","-129.908340","185.388748"
"1.701","109.056","2346","90.158257","90.106644","0","0.001717","-0.002040","-0.003926","-1.930324","0.000000","23.051815","0.000000","0.000000","100.000000","67.919518","63.018429","0.000365","-0.001601","0.065844","-129.908340","185.388733"
"1.801","109.056","2346","90.166130","90.114441","0","0.000429","0.001954","-0.005914","-1.936523","0.000000","23.051815","0.000000","0.000000","100.000000","67.917183","63.050755","-0.001296","0.000540","-0.036701","-129.908325","185.388748"
"1.901","109.056","2346","90.173996","90.122246","0","0.001287","0.000566","0.001456","-1.941036","0.000000","23.051817","0.000000","0.000000","100.000000","67.923073","63.000500","0.001171","-0.001391","0.004488","-129.908325","185.388748"
"2.001","109.056","2346","90.181854","90.130058","0","0.001931","-0.002128","-0.001696","-1.945264","0.000000","23.051817","0.000000","0.000000","100.000000","67.911301","63.032734","-0.000254","0.001193","0.015801","-129.908295","185.388763"
"2.101","109.056","2346","90.189705","90.137878","0","0.000858","-0.002401","-0.001145","-1.954172","0.000000","23.051815","0.000000","0.000000","100.000000","67.908463","63.024254","0.000332","-0.001068","0.049740","-129.908264","185.388763"
"2.201","109.056","2346","90.197548","90.145699","0","0.002360","0.002487","-0.000903","-1.953929","0.000000","23.051817","0.000000","0.000000","100.000000","67.910164","63.017971","-0.000348","-0.001577","0.002457","-129.908264","185.388748"
"2.301","109.056","2367","90.205902","90.153526","0","0.002146","0.004154","-0.001267","-1.953976","31.599998","31.599998","0.000000","0.000000","100.000000","67.929382","63.025810","-0.000189","-0.002063","-0.015537","-129.908234","185.388748"
"2.400","109.056","3833","90.269196","90.163795","0","0.027607","-0.001643","-0.004433","-1.954252","100.000000","100.000000","0.000000","0.000000","0.000000","67.923645","62.992020","0.001603","-0.003134","0.055495","-129.908203","185.388748"
"2.500","109.056","7977","90.572273","90.197273","0","0.001287","0.008335","0.003276","-1.954258","100.000000","100.000000","0.000000","0.000000","0.000000","67.908539","62.989544","-0.000984","-0.002131","-0.089907","-129.908203","185.388748"
"2.600","109.056","13539","91.296913","90.297478","0","0.027985","-0.000184","0.001628","-1.956759","100.000000","100.000000","0.000000","0.000000","0.000000","67.921814","62.970013","0.001743","-0.004114","-0.081861","-129.908173","185.388763"
"2.700","109.056","15688","91.802444","90.485069","0","0.027519","-0.001141","-0.002681","-1.955034","100.000000","100.000000","0.000000","0.000000","0.000000","67.909172","63.019436","0.000115","-0.002303","0.073899","-129.908173","185.388763"
"2.800","109.056","15544","92.014137","90.684540","0","0.001073","0.002517","-0.004394","-1.956760","41.409981","41.409981","0.000000","0.000000","0.000000","67.916130","62.999680","0.000068","-0.001656","0.023751","-129.908157","185.388763"
"2.900","109.056","12892","91.919205","90.867371","0","0.001717","0.000997","-0.004201","-1.948694","0.000000","0.000000","0.000000","0.000000","0.000000","67.907951","62.984364","0.000103","-0.002760","0.016397","-129.908157","185.388748"
"3.000","109.056","10069","91.782547","91.004028","0","0.002146","0.002004","-0.006353","-1.946964","0.000000","0.000000","0.000000","0.000000","0.000000","67.910645","62.987572","0.000398","-0.002257","-0.037796","-129.908157","185.388748"
"3.100","109.056","8043","91.681396","91.105179","0","0.003004","0.002634","-0.000318","-1.947276","0.000000","0.000000","0.000000","0.000000","0.000000","67.919235","62.988396","0.001070","-0.002283","-0.015722","-129.908157","185.388748"
"3.200","109.056","6958","91.637413","91.180748","0","0.027479","0.002201","-0.001488","-1.947716","33.970001","33.970001","0.000000","0.000000","0.000000","67.912346","63.031590","0.001069","-0.000878","-0.003748","-129.908127","185.388748"
"3.300","109.056","10163","91.976837","91.261803","0","0.001287","0.001477","0.007262","-1.957190","100.000000","100.000000","0.000000","0.000000","0.000000","67.896980","63.014763","-0.000412","-0.000796","-0.012326","-129.908112","185.388748"
"3.400","109.056","15588","92.798035","91.420776","0","0.002575","-0.000187","-0.000660","-1.956114","100.000000","0.000000","0.000000","0.000000","0.000000","67.894356","63.017742","-0.000244","-0.001309","0.045558","-129.908096","185.388748"
"3.500","109.056","15554","93.013062","91.629944","0","0.027707","0.002028","0.005345","-1.957650","94.419998","0.000000","0.000000","0.000000","0.000000","67.902016","63.065468","-0.000921","0.000731","0.000538","-129.908081","185.388748"
"3.600","109.056","14864","93.144882","91.837685","0","0.000000","-0.001868","-0.002170","-1.960046","4.209981","4.209981","0.000000","0.000000","0.000000","67.901833","63.043095","0.000280","-0.001180","0.036643","-129.908066","185.388748"
"3.700","109.056","11644","92.975044","92.007523","0","0.000215","0.005246","0.000634","-1.951280","0.000000","0.000000","0.000000","0.000000","0.000000","67.894455","63.037777","0.000497","0.000478","-0.035804","-129.908051","185.388733"
"3.800","109.056","9162","92.849335","92.133224","0","0.002789","-0.000831","-0.000164","-1.952741","0.000000","0.000000","0.000000","0.000000","0.000000","67.904510","63.062126","-0.000426","0.002319","-0.000567","-129.908051","185.388748"
"3.900","109.056","7897","92.797722","92.227257","0","0.027469","0.001387","-0.007296","-1.948853","33.180000","33.180000","0.000000","0.000000","0.000000","67.892082","63.036537","-0.000428","-0.000152","-0.061287","-129.908020","185.388733"
"4.000","109.056","11414","93.218140","92.329231","0","0.001287","0.002548","0.002707","-1.952613","100.000000","100.000000","0.000000","0.000000","0.000000","67.895309","63.062447","-0.001005","0.001319","-0.012771","-129.908005","185.388748"
"4.100","109.056","15681","93.932655","92.513046","0","0.002789","0.001981","-0.004665","-1.949709","100.000000","100.000000","0.000000","0.000000","0.000000","67.899498","63.071156","-0.001254","0.002623","-0.000945","-129.908005","185.388733"
"4.200","109.056","15617","94.139374","92.726212","0","0.003648","0.000897","-0.001742","-1.954186","70.239990","70.239990","0.000000","0.000000","0.000000","67.893745","63.026684","0.000538","-0.002940","-0.007548","-129.908005","185.388748"
"4.300","109.056","14078","94.164635","92.931885","0","0.002575","-0.001907","0.000462","-1.949348","0.000000","0.000000","0.000000","0.000000","0.000000","67.883980","63.069004","-0.001629","0.002579","0.047251","-129.908005","185.388733"
"4.400","109.056","10994","94.004471","93.092049","0","0.002146","-0.000645","0.002192","-1.951663","0.000000","0.000000","0.672500","0.000000","0.000000","67.886642","63.069916","-0.002468","0.001511","0.009278","-129.908005","185.388733"
"4.500","109.056","8702","93.885925","93.210594","0","0.001502","-0.001550","-0.002158","-1.950139","0.000000","0.000000","17.171719","0.000000","0.000000","67.883286","63.070148","0.000695","0.001065","-0.069824","-129.907990","185.388733"
"4.600","109.056","7049","93.798180","93.298340","0","0.003648","0.002945","0.011020","-1.952314","0.000000","0.000000","18.587727","0.000000","0.000000","67.866577","63.089310","-0.000000","0.001674","-0.022659","-129.907959","185.388733"
"4.700","109.056","5694","93.733238","93.363281","0","0.027496","-0.004852","-0.000696","-1.952882","0.000000","0.000000","18.587727","0.000000","0.000000","67.860649","63.081062","-0.001185","0.002399","0.057294","-129.907959","185.388733"
"4.800","109.056","4574","93.685173","93.411346","0","0.000429","-0.000605","-0.007702","-1.951505","0.000000","0.000000","10.041547","0.000000","0.000000","67.874184","63.031952","0.000695","-0.002204","0.007331","-129.907959","185.388733"
"4.900","109.056","3661","93.649597","93.446922","0","0.001073","-0.000064","0.004430","-1.954336","0.000000","0.000000","0.000000","0.000000","0.000000","67.858307","63.062626","-0.000510","-0.000885","0.014535","-129.907928","185.388733"
"5.000","109.056","3312","93.637978","93.473686","0","0.039338","-0.001668","0.003021","-1.953447","44.240002","44.240002","0.000000","0.000000","0.000000","67.875557","63.012558","-0.000745","-0.005142","-0.043080","-129.907913","185.388718"
"5.101","109.056","6188","93.802155","93.505386","0","0.027567","-0.002042","-0.006635","-1.955535","100.000000","100.000000","0.000000","0.000000","0.000000","67.865318","63.036079","-0.001872","0.001681","0.049816","-129.907913","185.388733"
"5.201","109.056","11209","94.329369","93.579727","0","0.002575","0.001784","0.000964","-1.964580","100.000000","100.000000","0.000000","0.000000","0.000000","67.878189","62.979137","-0.000467","-0.002377","-0.028695","-129.907913","185.388733"
"5.301","109.056","15660","95.075043","93.745422","0","0.004077","0.000480","-0.001593","-1.962438","100.000000","100.000000","0.000000","0.000000","0.000000","67.870865","63.008064","0.001289","-0.003217","-0.009392","-129.907898","185.388748"
"5.401","109.056","15642","95.298073","93.947090","0","0.027487","0.001839","-0.004243","-1.954261","67.449989","67.449989","0.000000","0.000000","0.000000","67.869965","63.038097","0.000506","-0.001863","0.019155","-129.907852","185.388718"
