"Format","AiM CSV File"
"Session","PittRace"
"Vehicle","Yamaha R3"
"Racer","John Robinson"
"Championship","WERA Endurance"
"Comment",""
"Date","Sunday, August 13, 2023"
"Time","3:28 PM"
"Sample Rate","20"
"Duration","1016"
"Segment","Session"
"Beacon Markers","1.859","142.238","279.237","415.85","551.542","686.894","821.251","1016"
"Segment Times","0:01.859","2:20.379","2:16.999","2:16.613","2:15.692","2:15.352","2:14.357","3:14.746"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","RPM","Distance on GPS Speed"
"s","km/h"," ","g","g","deg","deg","deg/s","m","mm","km/h","m","deg","deg","rpm","m"

"0.000","6.4202","14","0.0000","0.0000","0.2579","-108.8226","0.0000","333.4805","2150.0001","0.5400","10000.0000","40.85076014","-80.34763885","0.0000","0.0000"
"0.050","6.4202","14","0.0000","0.0000","0.2579","-108.8226","0.0000","333.4805","2150.0001","0.5400","10000.0000","40.85076014","-80.34763885","0.0000","0.0000"
"0.100","6.4202","14","0.0000","0.0000","0.2579","-108.8226","0.0000","333.4805","2150.0001","0.5400","10000.0000","40.85076014","-80.34763885","0.0000","0.0000"
"0.150","6.6792","14","-0.0120","0.0737","0.2456","-109.1998","-3.7717","333.4797","2148.7999","0.5400","28.1843","40.85076002","-80.34763919","0.0000","0.0250"
"0.200","7.7581","14","-0.0618","0.3807","0.1941","-110.7713","-19.4870","333.4767","2143.8000","0.5400","6.3362","40.85075951","-80.34764065","0.0000","0.1292"
"0.250","8.9158","14","-0.0838","0.6360","0.1878","-111.8734","-26.7365","333.4794","2137.5999","0.5400","5.3073","40.85075896","-80.34764224","0.0000","0.2416"
"0.300","10.3226","14","-0.0177","0.7276","0.3245","-111.4890","-7.1771","333.5001","2127.6000","0.5400","22.8907","40.85075833","-80.34764429","0.0000","0.3803"
"0.350","11.6610","14","0.0263","0.7778","0.3831","-111.2388","6.3462","333.5119","2118.7999","0.5400","29.2442","40.85075769","-80.34764637","0.0000","0.5274"
"0.400","12.7825","14","0.0002","0.6970","0.1941","-111.4135","0.7556","333.4956","2113.8000","0.5400","269.2403","40.85075704","-80.34764855","0.0000","0.7012"
"0.450","13.9509","14","-0.0265","0.6488","0.0395","-111.6818","-4.4303","333.4823","2108.7999","0.5400","50.1173","40.85075634","-80.34765082","0.0000","0.8831"
"0.500","15.2676","14","-0.0547","0.7044","-0.0063","-112.2469","-8.3348","333.4781","2103.8001","0.5400","29.1540","40.85075548","-80.34765341","0.0000","1.0908"
"0.550","16.5787","14","-0.0611","0.7450","-0.0402","-112.6025","-9.2072","333.4763","2097.6000","0.5400","28.6580","40.85075462","-80.34765610","0.0000","1.3071"
"0.600","17.8721","14","0.0017","0.7382","-0.0359","-112.2947","-0.4779","333.4821","2087.6000","0.5400","595.1812","40.85075374","-80.34765912","0.0000","1.5510"
"0.650","19.1734","14","0.0444","0.7352","-0.0609","-112.0514","5.5114","333.4814","2078.8000","0.5400","55.3677","40.85075283","-80.34766223","0.0000","1.8037"
"0.700","20.5000","14","0.0233","0.7445","-0.1787","-112.0123","2.8243","333.4600","2073.8001","0.5400","115.5221","40.85075180","-80.34766559","0.0000","2.0840"
"0.750","21.8210","14","0.0088","0.7465","-0.2734","-111.9234","0.9169","333.4420","2068.8000","0.5400","378.7666","40.85075075","-80.34766907","0.0000","2.3731"
"0.800","23.1240","14","0.0153","0.7250","-0.2950","-111.6769","1.4786","333.4349","2063.8001","0.5400","248.8988","40.85074962","-80.34767289","0.0000","2.6899"
"0.850","24.4088","14","0.0233","0.7100","-0.3181","-111.5082","2.1376","333.4255","2058.8000","0.5400","181.7383","40.85074846","-80.34767679","0.0000","3.0151"
"0.900","25.6358","14","0.0360","0.7155","-0.3458","-111.5856","3.1043","333.4091","2053.8001","0.5400","131.4324","40.85074721","-80.34768092","0.0000","3.3671"
"0.950","26.8429","14","0.0437","0.7153","-0.3818","-111.6061","3.6522","333.3913","2047.6000","0.5486","116.9751","40.85074596","-80.34768512","0.0000","3.7270"
"1.000","27.9870","14","0.0359","0.6972","-0.4445","-111.4466","2.8738","333.3689","2037.6000","0.5846","154.9943","40.85074464","-80.34768954","0.0000","4.1119"
"1.050","29.1549","17","0.0276","0.6841","-0.5088","-111.2385","2.0939","333.3472","2028.8000","0.6163","221.5977","40.85074331","-80.34769409","0.0000","4.5047"
"1.100","30.3982","17","0.0177","0.6868","-0.5782","-110.8769","1.3094","333.3277","2023.7999","0.6343","369.4965","40.85074191","-80.34769902","0.0000","4.9228"
"1.150","31.6600","17","0.0123","0.6903","-0.6465","-110.6697","0.8402","333.3076","2018.8000","0.6480","599.6967","40.85074047","-80.34770404","0.0000","5.3494"
"1.200","32.9805","17","0.0209","0.6966","-0.7110","-110.9515","1.3701","333.2861","2013.7999","0.6480","383.1090","40.85073885","-80.34770935","0.0000","5.8030"
"1.250","34.2745","17","0.0266","0.7074","-0.7574","-111.1686","1.7040","333.2682","2008.8000","0.6480","320.1235","40.85073720","-80.34771477","0.0000","6.2651"
"1.300","35.4844","17","0.0229","0.7330","-0.7469","-111.1807","1.4173","333.2615","2003.7999","0.6480","398.4563","40.85073547","-80.34772048","0.0000","6.7539"
"1.350","36.7469","17","0.0195","0.7572","-0.7360","-111.0912","1.1591","333.2552","1998.8000","0.6394","504.5804","40.85073373","-80.34772633","0.0000","7.2515"
"1.400","38.1763","17","0.0173","0.7769","-0.7236","-110.6798","0.9907","333.2503","1993.8000","0.6034","613.2935","40.85073198","-80.34773259","0.0000","7.7770"
"1.450","39.6015","17","0.0148","0.7921","-0.7155","-110.3885","0.8172","333.2434","1988.8000","0.5760","771.2719","40.85073018","-80.34773893","0.0000","8.3119"
"1.500","41.0129","17","0.0117","0.7927","-0.7211","-110.4774","0.6274","333.2301","1983.8001","0.5760","1040.4694","40.85072820","-80.34774552","0.0000","8.8768"
"1.550","42.4681","17","0.0096","0.7880","-0.7276","-110.5874","0.4913","333.2150","1977.6000","0.5717","1375.6415","40.85072618","-80.34775224","0.0000","9.4518"
"1.600","44.0616","17","0.0107","0.7665","-0.7372","-110.7643","0.5258","333.1942","1967.6000","0.5537","1333.8260","40.85072402","-80.34775938","0.0000","10.0584"
