"Format","PiBoSo CSV File"
"Venue","Pittsburgh International v1.0b"
"Vehicle","Yamaha YZF-R3"
"User","jrob314159"
"Data Source","GP Bikes"
"Comment",""
"Date","04/16/26"
"Time","11:11:18"
"Sample Rate","20"
"Duration","330.650"
"Segment","Session"
"Beacon Markers","165.142, 292.202"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","InputThrottle","Throttle","FrontBrake","RearBrake","Clutch","FrontSusp","RearSusp","FrontWheel","RearWheel","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","bar","bar","%","%","%","m/s","m/s","deg/s","m","m"

"5.000","116.002","5004","90.017921","89.599831","1","21.015817","-0.232251","0.177785","7.659286","52.549023","52.549023","0.000000","0.000000","0.000000","74.230652","47.339207","5.779315","5.768026","-33.443771","-137.477707","185.398682"
"5.051","116.307","5117","90.010719","89.582741","1","21.365983","-0.210287","0.189376","6.990300","67.058823","67.058823","0.000000","0.000000","0.000000","74.278252","47.671825","5.857647","5.879782","-30.932117","-137.762329","185.286331"
"5.101","116.608","5346","90.014061","89.566582","1","21.923496","-0.176011","0.366491","6.460218","88.235298","88.235298","0.000000","0.000000","0.000000","74.964401","47.947819","6.031266","6.043631","-27.622097","-138.039215","185.170471"
"5.151","116.917","5559","90.022095","89.550720","1","22.636462","-0.234768","0.441982","6.333446","92.549019","92.549019","0.000000","0.000000","0.000000","76.832321","47.495289","6.239895","6.236671","-27.595428","-138.322418","185.045502"
"5.201","117.237","5741","90.030533","89.535011","1","23.372708","-0.208107","0.453928","5.917930","92.156860","92.156860","0.000000","0.000000","0.000000","78.900543","46.837826","6.441673","6.439674","-27.120298","-138.611649","184.909515"
"5.251","117.566","5897","90.037659","89.519379","1","24.047647","-0.169079","0.431339","5.527044","89.019608","89.019608","0.000000","0.000000","0.000000","80.682869","46.344513","6.637784","6.642638","-25.046793","-138.906982","184.763077"
"5.301","117.904","6045","90.043274","89.503754","1","24.741733","-0.116095","0.400525","4.643649","87.450981","87.450981","0.000000","0.000000","0.000000","82.094994","46.304016","6.804243","6.853441","-22.758596","-139.207993","184.606873"
"5.351","118.251","6192","90.048195","89.488121","1","25.391684","0.079995","0.416425","2.330190","86.274513","86.274513","0.000000","0.000000","0.000000","83.206871","46.644520","7.006252","7.023991","-10.627629","-139.515656","184.444168"
"5.401","118.608","6346","90.052841","89.472450","1","26.051164","0.107180","0.413850","0.112970","86.666664","86.666664","0.000000","0.000000","0.000000","84.043327","47.349022","7.166374","7.227429","1.693469","-139.833374","184.280457"
"5.451","118.974","6514","90.057953","89.456741","1","26.800533","0.131245","0.431344","-1.666594","87.450981","87.450981","0.000000","0.000000","0.000000","84.492645","48.251160","7.375463","7.435980","9.660419","-140.162140","184.117126"
"5.501","119.352","6696","90.063782","89.440979","1","27.619181","0.125765","0.434154","-2.754814","87.450981","87.450981","0.000000","0.000000","0.000000","84.474571","49.080307","7.618293","7.656645","14.990894","-140.503448","183.954559"
"5.551","119.741","6892","90.070282","89.425209","1","28.456471","0.115327","0.454299","-3.083725","87.450981","87.450981","0.000000","0.000000","0.000000","84.218849","49.502678","7.826583","7.875915","16.571886","-140.857620","183.792923"
"5.601","120.142","7083","90.077675","89.409454","1","29.243587","0.030558","0.413467","-2.561855","87.450981","87.450981","0.000000","0.000000","0.000000","84.049583","49.384407","8.053681","8.098043","13.201093","-141.224335","183.630905"
"5.651","120.554","7281","90.086205","89.393814","1","30.062030","0.027446","0.441152","-1.887653","87.450981","87.450981","0.000000","0.000000","0.000000","84.089020","49.021755","8.268744","8.313136","9.598932","-141.601974","183.466446"
"5.701","120.977","7481","90.095879","89.378349","1","30.820774","-0.065120","0.470609","-0.514996","86.666664","86.666664","0.000000","0.000000","0.000000","84.283775","48.682415","8.488002","8.541564","2.510883","-141.990067","183.298080"
"5.751","121.411","7668","90.105942","89.363052","1","31.652662","-0.085888","0.457472","0.651127","84.313728","84.313728","0.000000","0.000000","0.000000","84.522835","48.480873","8.716666","8.762533","-5.113749","-142.386948","183.121918"
"5.801","121.856","7832","90.114456","89.347923","1","32.442891","-0.046108","0.443276","1.125565","79.607841","79.607841","0.000000","0.000000","0.000000","84.669456","48.392456","8.913027","8.974404","-8.279984","-142.791840","182.936966"
"5.851","122.312","7985","90.121025","89.332893","1","33.158908","0.155324","0.417140","-0.149530","76.862747","76.862747","0.000000","0.000000","0.000000","84.605423","48.518677","9.133969","9.181779","-0.401153","-143.205505","182.745819"
"5.901","122.777","8150","90.127617","89.318008","1","33.892304","0.229107","0.389327","-1.246442","77.254906","77.254906","0.000000","0.000000","0.000000","84.259964","48.893894","9.326058","9.381934","9.494636","-143.630325","182.555008"
"5.951","123.254","8345","90.136826","89.303360","1","34.651844","0.170523","0.415058","-1.776647","78.823532","78.823532","0.000000","0.000000","0.000000","83.784576","48.900032","9.535314","9.593831","12.545057","-144.067230","182.365891"
"6.001","123.741","8553","90.149490","89.289085","1","35.445764","0.166273","0.448517","-2.054220","80.392159","80.392159","0.000000","0.000000","0.000000","83.605652","48.596165","9.762202","9.807558","14.183203","-144.516617","182.177933"
"6.051","124.239","8787","90.167000","89.275375","1","36.286486","0.150904","0.475512","-2.108252","83.137253","83.137253","0.000000","0.000000","0.000000","83.841248","48.052067","9.989697","10.045180","14.445831","-144.978882","181.991531"
"6.101","124.749","9021","90.187332","89.262337","1","37.198231","0.141305","0.505232","-2.045025","84.313728","84.313728","0.000000","0.000000","0.000000","84.445610","47.468178","10.243128","10.300028","13.622220","-145.454620","181.806396"
"6.151","125.271","9253","90.208931","89.249947","1","38.114113","0.105109","0.521462","-1.600999","85.098038","85.098038","0.000000","0.000000","0.000000","85.121384","47.140644","10.492854","10.562693","11.466846","-145.944061","181.621933"
"6.201","125.807","9472","90.230270","89.238136","1","39.031629","0.049328","0.542237","-1.016850","85.098038","85.098038","0.000000","0.000000","0.000000","85.846237","46.980412","10.753366","10.816122","6.074983","-146.446609","181.435959"
"6.251","126.354","9684","90.250648","89.226784","1","39.968100","0.061139","0.534878","-0.765868","85.098038","85.098038","0.000000","0.000000","0.000000","86.477737","47.019623","11.005966","11.071895","3.969842","-146.961670","181.246887"
"6.301","126.915","9890","90.269501","89.215782","1","40.885606","0.062181","0.514347","-0.583996","84.705887","84.705887","0.000000","0.000000","0.000000","86.928680","47.123871","11.258378","11.330856","3.002548","-147.489258","181.054977"
"6.351","127.488","10093","90.286705","89.205048","1","41.770703","0.040163","0.520546","-0.432295","84.313728","84.313728","0.000000","0.000000","0.000000","87.098633","47.284218","11.500820","11.583501","1.667371","-148.029037","180.859818"
"6.401","128.073","10285","90.301987","89.194466","1","42.639426","0.024053","0.489758","-0.322520","83.529411","83.529411","0.000000","0.000000","0.000000","87.094727","47.447491","11.774199","11.824483","0.763333","-148.580765","180.660965"
"6.451","128.671","10468","90.314789","89.183914","1","43.569426","0.033025","0.480834","-0.274035","82.745102","82.745102","0.000000","0.000000","0.000000","86.825645","47.626305","11.988383","12.056723","0.192006","-149.144257","180.458191"
"6.501","129.279","10340","90.298698","89.172775","1","44.108738","0.009276","0.263769","-0.211291","81.568626","23.199993","0.000000","0.000000","0.000000","86.561050","47.525501","12.171929","12.092669","1.083020","-149.717957","180.251785"
"6.551","129.903","9520","90.272415","89.158264","2","46.506761","0.008176","1.388259","-0.143342","81.176468","81.176468","0.000000","0.000000","0.000000","85.809982","49.594311","12.658985","12.188205","-1.208040","-150.306061","180.041534"
"6.601","130.555","9014","90.276825","89.140862","2","47.782236","0.023487","0.915234","0.165805","79.607841","79.607841","0.000000","0.000000","0.000000","89.714272","45.580578","12.596048","13.300486","-0.843869","-150.921341","179.821198"
"6.651","131.228","8580","90.268372","89.121475","2","48.904321","0.000235","0.469475","0.344530","69.803925","69.803925","0.000000","0.000000","0.000000","92.324135","43.366383","12.499259","13.375224","1.028785","-151.555710","179.593353"
"6.701","131.903","8458","90.244049","89.100800","2","48.655721","0.003005","0.162069","0.343537","59.215691","59.215691","0.000000","0.000000","0.000000","92.307915","44.020103","12.402464","13.581480","1.004998","-152.192108","179.363907"
"6.751","132.579","8401","90.212326","89.079178","2","49.234989","-0.003250","0.105281","-0.238933","54.509808","54.509808","0.000000","0.000000","0.000000","84.374054","47.673870","13.434933","13.602144","-1.991449","-152.828720","179.133469"
"6.801","133.265","8402","90.176125","89.056190","2","49.702608","0.039682","0.166720","-0.250534","47.450981","47.450981","0.000000","0.000000","0.000000","77.871979","48.628773","13.570024","13.638030","2.756195","-153.475266","178.899673"
"6.851","133.955","8393","90.135582","89.031822","2","49.891632","-0.032723","0.068880","-0.082063","43.921570","43.921570","0.000000","0.000000","0.000000","74.246086","48.555084","13.625728","13.667157","-1.927948","-154.125580","178.664566"
"6.901","134.648","8373","90.092552","89.006241","2","50.034571","0.026438","0.014465","-0.222518","40.392159","40.392159","0.000000","0.000000","0.000000","72.313942","49.264206","13.682723","13.706885","0.610836","-154.777679","178.428070"
"6.951","135.341","8367","90.049423","88.979599","2","50.069047","-0.009145","0.013813","-0.142905","40.392159","40.392159","0.000000","0.000000","0.000000","71.744156","50.796627","13.720531","13.719171","-0.139892","-155.431046","178.191437"
"7.001","136.035","8366","90.007347","88.952133","2","50.058723","0.011711","0.001145","-0.206229","40.392159","40.392159","0.000000","0.000000","0.000000","71.540680","51.919472","13.715554","13.716252","0.148500","-156.084488","177.954651"
"7.051","136.729","8369","89.966614","88.923996","2","50.119347","0.001799","0.002363","-0.165815","41.176472","41.176472","0.000000","0.000000","0.000000","71.101585","52.566826","13.682678","13.717641","0.047758","-156.738297","177.717789"
"7.101","137.424","8388","89.928352","88.895393","2","50.179968","-0.001931","0.004581","-0.182790","43.137257","43.137257","0.000000","0.000000","0.000000","70.860931","52.920658","13.728441","13.730428","-0.014693","-157.392700","177.480804"
"7.151","138.119","8406","89.892136","88.866531","2","50.161573","0.010605","0.038523","-0.204909","43.921570","43.921570","0.000000","0.000000","0.000000","70.965904","52.870636","13.735312","13.734341","0.258319","-158.047409","177.243896"
"7.201","138.814","8418","89.856979","88.837479","2","50.222591","0.011073","0.018686","-0.192793","43.921570","43.921570","0.000000","0.000000","0.000000","71.069847","52.786369","13.749883","13.751976","0.071188","-158.702637","177.006973"
"7.251","139.511","8427","89.822372","88.808311","2","50.257906","0.008708","0.008246","-0.189079","43.921570","43.921570","0.000000","0.000000","0.000000","71.189453","52.736408","13.764735","13.767607","0.211398","-159.358612","176.769821"
"7.301","140.207","8438","89.788483","88.779068","2","50.283432","0.000734","0.019565","-0.169862","44.313725","44.313725","0.000000","0.000000","0.000000","71.447166","52.669209","13.779895","13.777916","-0.018226","-160.015076","176.532593"
"7.351","140.905","8444","89.755005","88.749802","2","50.344855","0.014657","0.025269","-0.206074","43.921570","43.921570","0.000000","0.000000","0.000000","71.535263","52.457321","13.791837","13.790086","0.210980","-160.672073","176.295273"
"7.401","141.603","8449","89.721497","88.720505","2","50.413462","0.005114","0.003276","-0.209407","43.529411","43.529411","0.000000","0.000000","0.000000","71.483383","52.382694","13.806195","13.801402","0.314226","-161.330032","176.057877"
"7.451","142.301","8454","89.688049","88.691200","2","50.413204","0.009830","0.033054","-0.200082","43.137257","43.137257","0.000000","0.000000","0.000000","71.646965","52.303570","13.816653","13.805839","0.455164","-161.988556","175.820450"
"7.501","143.000","8451","89.654396","88.661896","2","50.403945","-0.005336","0.004961","-0.181863","42.745098","42.745098","0.000000","0.000000","0.000000","71.786133","52.147491","13.816690","13.808998","-0.024474","-162.647095","175.583176"
"7.551","143.699","8454","89.620964","88.632607","2","50.490696","0.009130","0.014564","-0.211426","42.745098","42.745098","0.000000","0.000000","0.000000","71.687111","52.291595","13.813596","13.823862","0.375971","-163.306015","175.345840"
"7.601","144.399","8459","89.587868","88.603340","2","50.490095","0.004374","0.010640","-0.186985","42.745098","42.745098","0.000000","0.000000","0.000000","71.716705","52.478184","13.839436","13.836849","0.212775","-163.965698","175.108551"
"7.651","145.099","8463","89.555031","88.574142","2","50.550952","0.009381","0.006629","-0.191459","42.352943","42.352943","0.000000","0.000000","0.000000","71.700928","52.505470","13.843397","13.833115","0.107170","-164.625763","174.871185"
"7.701","145.799","8460","89.521729","88.544991","2","50.567796","0.009726","-0.006687","-0.187518","41.568626","41.568626","0.000000","0.000000","0.000000","71.573654","52.333027","13.849813","13.837175","0.170195","-165.286377","174.633865"
"7.751","146.500","8452","89.487762","88.515892","2","50.567548","0.017644","-0.003272","-0.206397","40.392159","40.392159","0.000000","0.000000","0.000000","71.565018","52.285927","13.848770","13.829689","0.482486","-165.947144","174.396500"
