"Format","PiBoSo CSV File"
"Venue","Pittsburgh International v1.0b"
"Vehicle","Honda HRC Team"
"User","jrob314159"
"Data Source","GP Bikes"
"Comment",""
"Date","04/15/26"
"Time","10:31:08"
"Sample Rate","10"
"Duration","303.798"
"Segment","Session"
"Beacon Markers","166.113"

"Time","Distance","Engine","CylHeadTemp","WaterTemp","Gear","Speed","LatAcc","LonAcc","Steer","InputThrottle","Throttle","FrontBrake","RearBrake","Clutch","FrontSusp","RearSusp","FrontWheel","RearWheel","YawVel","PosX","PosY"
"s","m","rpm","C","C","","km/h","G","G","deg","%","%","bar","bar","%","%","%","m/s","m/s","deg/s","m","m"

"0.002","109.056","2395","90.000214","90.000000","0","0.065006","-0.000002","-0.005236","-0.000001","0.000000","15.000001","0.000000","0.000000","100.000000","95.836464","80.041191","0.003907","-0.003469","-0.000067","-129.907272","185.386108"
"0.101","109.065","2346","90.013817","90.000664","0","2.511717","-0.018769","0.150929","-0.033811","0.000000","22.961805","0.000000","0.000000","100.000000","82.905281","77.462563","0.012443","0.041564","0.882919","-129.917267","185.386765"
"0.200","109.069","2346","90.026405","90.003143","0","0.361616","-0.012625","-0.027406","0.894214","0.000000","23.050697","0.000000","0.000000","100.000000","58.344452","46.086674","-0.080161","-0.054684","-1.183765","-129.921417","185.385544"
"0.300","109.065","2346","90.037964","90.007256","0","0.639517","-0.004380","0.047708","1.741619","0.000000","23.051804","0.000000","0.000000","100.000000","61.302567","51.344238","0.012249","-0.014942","0.553135","-129.915649","185.384445"
"0.400","109.060","2346","90.048553","90.012337","0","0.143376","0.003261","0.003582","0.915137","0.000000","23.051815","0.000000","0.000000","100.000000","67.522179","60.823925","-0.014319","-0.007611","0.712113","-129.911346","185.384903"
"0.500","109.059","2346","90.058426","90.018127","0","0.029334","-0.000691","0.007948","0.500669","0.000000","23.051815","0.000000","0.000000","100.000000","67.723198","61.940777","-0.005989","-0.006512","0.054409","-129.910080","185.385178"
"0.601","109.059","2346","90.067955","90.024590","0","0.037795","0.000071","0.000222","0.490170","0.000000","23.051817","0.000000","0.000000","100.000000","67.881325","62.376213","-0.004631","-0.001328","-0.030968","-129.909470","185.385162"
"0.701","109.058","2346","90.076904","90.031311","0","0.027507","0.000920","-0.003378","0.486075","0.000000","23.051815","0.000000","0.000000","100.000000","68.058075","62.764282","-0.001224","0.000443","-0.047422","-129.909134","185.385208"
"0.801","109.058","2346","90.085556","90.038322","0","0.038845","0.002974","-0.006419","0.451583","0.000000","23.051817","0.000000","0.000000","100.000000","68.033112","62.794540","-0.000725","0.001642","-0.061584","-129.909058","185.385223"
"0.901","109.058","2346","90.094002","90.045547","0","0.002146","0.014643","0.002954","0.362967","0.000000","23.051815","0.000000","0.000000","100.000000","68.036858","62.811462","0.000833","-0.003330","0.026181","-129.908951","185.385300"
"1.001","109.058","2346","90.102287","90.052933","0","0.027680","-0.001632","-0.010351","0.263319","0.000000","23.051817","0.000000","0.000000","100.000000","68.048248","62.835808","-0.000631","-0.000713","0.430460","-129.908783","185.385788"
"1.101","109.057","2346","90.110451","90.060432","0","0.028840","0.001463","0.001927","-0.500599","0.000000","23.051817","0.000000","0.000000","100.000000","68.023788","62.907887","0.000122","0.001803","0.758924","-129.908600","185.386871"
"1.201","109.057","2346","90.118538","90.068016","0","0.038994","0.001262","-0.003627","-1.233548","0.000000","23.051817","0.000000","0.000000","100.000000","67.973328","62.868732","-0.000461","-0.005689","0.474170","-129.908417","185.387802"
"1.301","109.056","2346","90.126549","90.075668","0","0.027467","0.000144","-0.004039","-1.666401","0.000000","23.051817","0.000000","0.000000","100.000000","67.950508","62.925766","-0.000792","-0.000777","0.211111","-129.908325","185.388351"
"1.401","109.056","2346","90.134521","90.083374","0","0.027630","0.007960","0.010577","-1.858146","0.000000","23.051815","0.000000","0.000000","100.000000","67.925087","62.960888","0.001757","-0.001713","0.090910","-129.908234","185.388657"
"1.501","109.056","2346","90.142456","90.091110","0","0.002575","0.001650","-0.006096","-1.952989","0.000000","23.051815","0.000000","0.000000","100.000000","67.903648","63.014900","-0.000895","0.001824","-0.049435","-129.908203","185.388733"
"1.601","109.056","2346","90.150368","90.098869","0","0.003648","0.001695","-0.000628","-1.944575","0.000000","23.051817","0.000000","0.000000","100.000000","67.911850","63.028515","-0.001542","0.003737","-0.043374","-129.908203","185.388718"
"1.701","109.056","2346","90.158257","90.106644","0","0.001717","-0.001547","0.005864","-1.936949","0.000000","23.051815","0.000000","0.000000","100.000000","67.915054","63.026131","-0.000560","0.001095","-0.048084","-129.908188","185.388733"
"1.801","109.056","2346","90.166130","90.114441","0","0.003004","-0.004077","0.004728","-1.938179","0.000000","23.051815","0.000000","0.000000","100.000000","67.912636","62.975468","0.001267","-0.003462","0.045652","-129.908188","185.388733"
"1.901","109.056","2346","90.173996","90.122246","0","0.027586","-0.002229","-0.001692","-1.940479","0.000000","23.051817","0.000000","0.000000","100.000000","67.914185","62.990276","-0.000125","-0.000916","0.098764","-129.908173","185.388748"
"2.001","109.056","2346","90.181854","90.130058","0","0.000429","-0.001554","-0.004068","-1.950263","0.000000","23.051817","0.000000","0.000000","100.000000","67.924126","63.010769","0.000635","0.000566","0.072452","-129.908173","185.388748"
"2.101","109.056","2346","90.189705","90.137878","0","0.001287","-0.002116","-0.003288","-1.951775","0.000000","23.051815","0.000000","0.000000","100.000000","67.925125","63.016094","-0.001049","0.001800","0.083628","-129.908173","185.388748"
"2.201","109.056","2346","90.197548","90.145699","0","0.027467","-0.001994","-0.003078","-1.948149","0.000000","23.051817","0.000000","0.000000","100.000000","67.921783","63.009117","-0.000149","-0.000189","0.032903","-129.908173","185.388748"
"2.301","109.056","2346","90.205391","90.153526","0","0.000858","0.000250","0.001371","-1.947749","0.000000","23.051815","0.000000","0.000000","100.000000","67.925415","63.022552","-0.002139","0.000067","0.037007","-129.908157","185.388748"
"2.400","109.056","2346","90.213074","90.161194","0","0.027467","-0.000089","0.002350","-1.950722","0.000000","23.051815","0.000000","0.000000","100.000000","67.941406","63.016407","-0.000307","-0.000408","-0.009522","-129.908173","185.388763"
"2.500","109.056","2346","90.220917","90.169029","0","0.027630","-0.002893","-0.000155","-1.948228","0.000000","23.051817","0.000000","0.000000","100.000000","67.934212","63.030807","-0.000327","0.003415","-0.018522","-129.908173","185.388748"
"2.600","109.056","2346","90.228752","90.176857","0","0.003862","-0.006134","-0.004728","-1.950964","0.000000","23.051817","0.000000","0.000000","100.000000","67.917694","63.060795","-0.001728","0.002973","0.074911","-129.908142","185.388748"
"2.700","109.056","2346","90.236595","90.184692","0","0.000215","0.000633","-0.004638","-1.950223","0.000000","23.051815","0.000000","0.000000","100.000000","67.938507","63.021595","0.000177","0.000872","-0.056537","-129.908142","185.388748"
"2.800","109.056","2346","90.244431","90.192520","0","0.002789","0.001716","0.000396","-1.948139","0.000000","23.051817","0.000000","0.000000","100.000000","67.938362","63.017559","-0.002549","0.001831","-0.072803","-129.908157","185.388733"
"2.900","109.056","2346","90.252266","90.200356","0","0.027519","-0.001684","0.001302","-1.940436","0.000000","23.051815","0.000000","0.000000","100.000000","67.912727","62.988766","0.000410","-0.002251","0.085943","-129.908142","185.388733"
"3.000","109.056","2346","90.260101","90.208191","0","0.000858","-0.000294","-0.000712","-1.948880","0.000000","23.051815","0.000000","0.000000","100.000000","67.919441","63.013016","-0.000364","0.000435","0.027645","-129.908142","185.388748"
"3.100","109.056","2346","90.267937","90.216026","0","0.001287","-0.001947","0.000421","-1.946747","0.000000","23.051817","0.000000","0.000000","100.000000","67.922226","63.022690","-0.000155","0.001835","0.019767","-129.908127","185.388733"
"3.200","109.056","2346","90.275772","90.223854","0","0.027630","-0.001385","-0.002383","-1.949846","0.000000","23.051815","0.000000","0.000000","100.000000","67.933197","63.052219","-0.001891","0.003391","-0.008887","-129.908127","185.388748"
"3.300","109.056","2346","90.283607","90.231689","0","0.001717","-0.001251","-0.001764","-1.947555","0.000000","23.051815","0.000000","0.000000","100.000000","67.936996","63.025768","0.000309","0.000523","-0.013707","-129.908142","185.388748"
"3.400","109.056","2346","90.291443","90.239525","0","0.001717","-0.003170","0.002957","-1.947460","0.000000","23.051817","0.000000","0.000000","100.000000","67.920715","63.027138","-0.000192","-0.001176","0.030692","-129.908127","185.388733"
"3.500","109.056","2346","90.299278","90.247360","0","0.027906","-0.001412","0.006730","-1.949298","0.000000","23.051817","0.000000","0.000000","100.000000","67.924469","63.066570","-0.001911","0.002960","-0.033816","-129.908127","185.388748"
"3.600","109.056","2346","90.307114","90.255196","0","0.055214","0.001317","-0.008927","-1.948485","0.000000","23.051815","0.000000","0.000000","100.000000","67.895027","62.973316","0.001013","-0.005399","-0.028563","-129.908081","185.388733"
"3.700","109.056","2346","90.314949","90.263031","0","0.000429","0.003805","-0.001139","-1.951068","0.000000","23.051815","0.000000","0.000000","100.000000","67.897362","63.001190","-0.000133","0.000542","-0.080114","-129.908081","185.388748"
"3.800","109.056","2346","90.322777","90.270866","0","0.001717","-0.002648","-0.004220","-1.948117","0.000000","23.051817","0.000000","0.000000","100.000000","67.906570","62.993347","0.001032","-0.002504","0.014985","-129.908096","185.388748"
"3.900","109.056","2346","90.330612","90.278702","0","0.028418","0.000868","0.004757","-1.950263","0.000000","23.051817","0.000000","0.000000","100.000000","67.904404","63.032646","-0.002402","0.001308","-0.051375","-129.908096","185.388748"
"4.000","109.056","2346","90.338448","90.286530","0","0.000858","-0.000462","0.014497","-1.947970","0.000000","23.051817","0.000000","0.000000","100.000000","67.884689","63.001369","-0.000724","-0.000090","-0.001020","-129.908066","185.388733"
"4.100","109.056","2346","90.346283","90.294365","0","0.028531","-0.002823","0.008403","-1.951360","0.000000","23.051817","0.000000","0.000000","100.000000","67.892006","63.062214","-0.002035","0.003409","0.050354","-129.908066","185.388748"
"4.200","109.056","2346","90.354118","90.302200","0","0.027469","0.001106","0.003590","-1.948677","0.000000","23.051815","0.000000","0.000000","100.000000","67.902756","63.025261","-0.001494","-0.000300","0.008819","-129.908066","185.388733"
"4.300","109.056","2346","90.361954","90.310036","0","0.000000","0.000365","0.001200","-1.948036","0.000000","23.051817","0.000000","0.000000","100.000000","67.915909","63.007153","-0.000601","0.001524","0.025515","-129.908051","185.388733"
"4.400","109.056","2346","90.369789","90.317871","0","0.027473","-0.001301","-0.000652","-1.948506","0.000000","23.051815","0.000000","0.000000","100.000000","67.910339","63.003437","0.001289","-0.001861","0.001518","-129.908035","185.388748"
"4.500","109.056","2346","90.377625","90.325706","0","0.002789","-0.002740","-0.003834","-1.947361","0.000000","23.051817","0.000000","0.000000","100.000000","67.895248","62.961533","0.000297","-0.002503","0.041487","-129.908035","185.388733"
"4.600","109.056","2346","90.385460","90.333542","0","0.001287","0.002128","0.001417","-1.947699","0.000000","23.051815","0.000000","0.000000","100.000000","67.892906","62.997429","-0.001463","0.002228","-0.021177","-129.908035","185.388733"
"4.700","109.056","2346","90.393288","90.341377","0","0.005150","0.002807","-0.002840","-1.948046","0.000000","23.051815","0.000000","0.000000","100.000000","67.903259","62.948006","0.000908","-0.004060","-0.064277","-129.908035","185.388748"
"4.800","109.056","2346","90.401123","90.349205","0","0.027479","0.001313","-0.002424","-1.943022","0.000000","23.051817","0.000000","0.000000","100.000000","67.910423","63.024300","-0.001387","0.001226","-0.076785","-129.908035","185.388748"
"4.900","109.056","2346","90.408958","90.357040","0","0.000429","0.000913","-0.003706","-1.950679","0.000000","23.051817","0.000000","0.000000","100.000000","67.904373","62.985275","-0.001020","-0.000576","-0.013945","-129.908035","185.388748"
"5.000","109.056","2346","90.416794","90.364876","0","0.000429","-0.001714","-0.001609","-1.948928","0.000000","23.051817","0.000000","0.000000","100.000000","67.902328","63.023746","-0.000404","-0.000142","0.067511","-129.908020","185.388748"
"5.101","109.056","2346","90.424782","90.372871","0","0.002146","-0.002416","0.003517","-1.949021","0.000000","23.051817","0.000000","0.000000","100.000000","67.907974","63.006420","0.000497","-0.001890","0.013395","-129.908005","185.388748"
"5.201","109.056","2346","90.432617","90.380707","0","0.001073","-0.000424","-0.002922","-1.953923","0.000000","23.051817","0.000000","0.000000","100.000000","67.904816","62.995232","-0.000756","-0.001590","0.048560","-129.908020","185.388748"
"5.301","109.056","2346","90.440453","90.388535","0","0.027767","-0.003266","-0.001934","-1.952026","0.000000","23.051817","0.000000","0.000000","100.000000","67.903534","62.970375","0.001494","-0.002896","0.013555","-129.908005","185.388748"
"5.401","109.056","2346","90.448288","90.396370","0","0.027944","-0.008709","0.001617","-1.952633","0.000000","23.051817","0.000000","0.000000","100.000000","67.895386","62.960751","0.002381","-0.003384","0.113456","-129.907990","185.388733"
